,Star_name,Distance,Mass,Radius,Gravity
0,Sun,0.000015813,695700000.0,1.989e+30,1.1736500981643383e-62
1,Sirius,8.6,1460970000.0,3.4011899999999995e+30,8.42879930968541e-63
2,Canopus,310,10435500000.0,1.41219e+32,3.49231332522616e-65
3,Alpha Centauri,4.4,765270000.0000001,2.3867999999999998e+30,8.965382694310919e-63
4,Arcturus,37,765270000.0000001,5.1713999999999995e+31,1.9097856626934505e-65
5,Vega,25,1530540000.0000002,5.3703e+30,3.541879582937646e-63
6,Capella,43,1808820000.0,2.3868e+31,2.119090455018944e-64
7,Rigel,860,16001100000.0,1.5693210000000001e+32,4.336231590224229e-65
8,Procyon,11.4,1043550000.0,3.7790999999999997e+30,4.876662457746559e-63
9,Betelgeuse,640,13914000000.0,1.8895499999999998e+33,2.6008866441314977e-67
10,Achernar,144,4661190000.0,1.84977e+31,9.091751251822252e-64
11,Hadar,390,7304850000.0,1.7105399999999998e+31,1.6662149852251965e-63
12,Altair,17,1252260000.0,3.5802e+30,6.520278323135212e-63
13,Acrux,320,12522600000.0,1.77021e+31,2.6670498380202107e-63
14,Aldebaran,65,1043550000.0,8.7516e+31,9.093363363876586e-66
15,Antares,600,8348400000.0,1.35252e+33,3.045804753021639e-67
16,Spica,260,7951851000.0,1.4857829999999998e+31,2.4040509421924e-63
17,Pollux,34,1321830000.0,1.75032e+31,2.879565065227586e-64
18,Fomalhaut,25,1321830000.0,3.5802e+30,6.882516007753834e-63
19,Deneb,"2,600",13218300000.0,4.0376699999999995e+32,5.411281968774401e-66
20,Mimosa,350,11131200000.0,1.67076e+31,2.661338091075597e-63
21,Regulus,77,2643660000.0,6.1659e+30,4.6408640718256866e-63
22,Adhara,430,8696250000.0,2.7846e+31,7.485013381150114e-64
23,Shaula,700,10087650000.0,1.75032e+31,2.1975628129368417e-63
24,Castor,52,1947959999.9999998,4.7735999999999997e+30,5.70524353274331e-63
25,Gacrux,88,1043550000.0,1.67076e+32,2.495004460383373e-66
26,Bellatrix,240,5983020000.0,1.15362e+31,3.000413449528332e-63
27,Elnath,130,3478500000.0,8.3538e+30,3.326672613844496e-63
28,Miaplacidus,110,2434950000.0,1.3525199999999998e+31,8.883597196313116e-64
29,Alnilam,"2,000",22262400000.0,8.3538e+31,2.129070472860478e-64
30,Gamma Velorum,"1,100",6261300000.0,1.1934e+31,2.934125245410846e-63
31,Alnair,101,2782800000.0,6.762599999999999e+30,4.0610730040288534e-63
32,Alioth,81,2017530000.0,8.3538e+30,1.9294701160298076e-63
33,Alnitak,1050,22958100000.0,3.978e+31,9.682613309855792e-64
34,Dubhe,120,2956725000.0,5.967e+31,5.54223657466493e-65
35,Mirfak,590,5913450000.0,1.3525199999999999e+32,2.1574450333903278e-65
36,Wezen,"1,600",11826900000.0,3.978e+32,4.988012917198437e-66
37,Sargas,270,3965490000.0,5.1713999999999995e+31,9.896162070320604e-65
38,Kaus Australis,140,2434950000.0,1.3525199999999998e+31,8.883597196313116e-64
39,Avior,630,6261300000.0,2.5857e+32,6.250207623360381e-66
40,Alkaid,104,4243769999.9999995,6.762599999999999e+30,6.193136331144e-63
41,Menkalinan,81,1662723000.0,5.50953e+30,3.655754323153916e-63
42,Atria,390,4869900000.0,1.8298799999999998e+32,9.706463477257052e-66
43,Alhena,109,1947959999.9999998,6.563699999999999e+30,3.0176494718642316e-63
44,Peacock,180,4104630000.0000005,9.547199999999999e+30,3.005440789570137e-63
45,Alsephina[2],80,1669680000.0,5.7681e+30,3.349298734357208e-63
46,Mirzam,500,9391950000.0,1.989e+31,1.5844276325218567e-63
47,Polaris,430,3756780000.0000005,7.757099999999999e+31,4.166805082240255e-65
48,Alphard,180,2087100000.0,9.945e+31,1.408380117797206e-65
49,Scheat,196,1460970000.0,1.88955e+32,2.730930976338073e-66
50,Almaaz,653,10435500000.0,2.7846e+32,8.982016057380139e-66
51,Rasalgethi,360,1947959999.9999998,5.5692e+32,4.191607493444065e-67
52,Tau Ceti,11.9,544733100.0,1.776177e+30,1.1523847002914003e-62
53,Delta Pavonis,19.92,689438700.0,2.4265799999999998e+30,7.814345923682204e-63
54,Ran,10.48,570474000.0,1.47186e+30,1.757474580888892e-62
55,V382 Carinae,"8,900",13914000000.0,9.64665e+32,9.978957153060587e-67
56,Eta Carinae,"7,500",69570000000.0,1.7523089999999998e+33,1.512121967174772e-66
57,Delta Cephei,887,3130650000.0,8.85105e+31,2.66704983802021e-65
58,Mu Cephei,"6,000",13357440000.0,1.933308e+33,2.3851040962543068e-67
59,Titawin,44.25,883539000.0,2.94372e+30,6.80485584673443e-63
60,Rho Cassiopeiae,"8,154",15305400000.0,1.5912e+33,4.0344222124399126e-67
61,P Cygni,"5,545",20871000000.0,1.51164e+32,6.095828072183196e-65
62,VV Cephei,"4,900",12661740000.0,1.49175e+33,3.7974100953939474e-67
63,61 Cygni,11.41,486989999.99999994,1.322685e+30,1.8577761743796407e-62
64,R Doradus,178,556560000.0,5.92722e+32,1.0572948048865711e-67
65,Polaris Australis,281,1106163000.0,7.43886e+30,1.334112825703693e-63
66,R Coronae Borealis,"4,566",591345000.0,1.69065e+32,1.3807648213698097e-66
67,54 Piscium,36.1,528732000.0,1.8696599999999998e+30,1.0094772234097975e-62
68,Mira,300,834840000.0,7.359299999999999e+32,1.0287656083252054e-67
69,RW Cephei,"14,000",9670230000.0,2.303262e+33,1.21656780976106e-67
70,Lacaille 8760,12.87,417420000.0,1.01439e+30,2.707382002685901e-62
71,V838 Monocerotis,"19,896",347850000.0,8.950499999999999e+32,2.8979014769489837e-68
72,HD 140283,190,1391400000.0,2.7846e+30,1.197602140984019e-62
73,II Pegasi,130,556560000.0,6.762599999999999e+30,8.122146008057706e-64
74,VY Canis Majoris,"3,900",11826900000.0,2.82438e+33,9.894887754807454e-68
75,Pistol Star,"25,000",69570000000.0,6.3648e+32,1.1461426739886114e-65
76,S Doradus,"1,69,000",16696800000.0,7.5582e+32,1.9506649830986234e-66
77,UY Scuti,"5,100",4869900000.0,1.5016949999999998e+33,1.4412614687338922e-67
78,Barnard's Star,5.98,97398000.00000001,3.978e+29,4.107775343575185e-62
79,Luhman 16,6.52,27828000.0,3.978e+28,1.173650098164338e-60
80,Proxima Centauri,4.25,83484000.0,2.9834999999999998e+29,6.259467190209804e-62
81,KIC 8462852,"1,470",994851000.0,3.14262e+30,6.72295962335765e-63
82,R136a1,"1,63,000",201753000000.0,6.3648e+31,3.3238137545669736e-63
83,Melnick 42,"1,63,000",131487300000.0,4.19679e+31,4.982364918871092e-63
84,WR 102,"18,134",13218300000.0,7.7571e+29,1.466098084491941e-60
85,VFTS 352,"1,64,000",39988836000.0,2.878083e+31,3.221946588370102e-63
86,YBP 1194,"2,772",702657000.0,1.96911e+30,1.2094547486439972e-62
87,Gliese 1214,47.5,111312000.0,4.176899999999999e+29,4.258140945720956e-62
88,NML Cygni,"5,251",34785000000.0,3.7790999999999996e+33,1.625554152582186e-67
89,VB 10,18.72,52177500.0,1.989e+29,8.802375736232536e-62
90,WOH G64,"1,63,000",13914000000.0,3.1824e+33,9.169141391908892e-68
91,TRAPPIST-1,39.6,61917300.0,2.3868e+29,7.253809634487925e-62
92,2MASS J0523-1403,40.3,48699000.00000001,1.7105399999999996e+29,1.1108099901501314e-61
93,WISE 0855−0714,7.27,2087100.0,1.7105399999999996e+29,4.7606142435005627e-63
94,Icarus,"14,40,00,00,000",22958100000.0,3.978e+29,9.682613309855791e-60
95,SDSS J000013.54+255418.6 [de],46.1,31877129.8368,2.0235165093e+29,5.1957938268778645e-62
96,2MASS J00040288-6410358,192,12618030.5604,3.3316483941e+29,7.586814290521605e-63
97,2MASS J00242463-0158201,37.7,52464442.856400006,2.2279121162999997e+29,7.054320007577167e-62
98,2MASS J00274197+0503417,236,20587313.0196,2.9432967408e+29,1.5860532751154677e-62
99,2MASSW J0030300-145033,87.2,35861771.0664,2.0030769486e+29,5.965167868532246e-62
100,2MASS J00332386-1521309 [de],131,19259099.2764,2.9228571801e+29,1.5045512449871923e-62
101,2MASS J00345157+0523050,31,27892488.607199997,1.9213187058e+29,5.0428336787093935e-62
102,2MASS 0036+1821,28.6,27892488.607199997,1.9213187058e+29,5.0428336787093935e-62
103,2MASSW J0045214+163445,57,15274458.0468,3.3112088334e+29,9.297771489326836e-63
104,WISEP J004701.06+680352.1 [fr],40,7969282.4592,2.657142891e+29,7.533132440418632e-63
105,2MASS J00501994-3322402 [de],34,26564274.864,1.9213187058e+29,4.802698741627994e-62
106,2MASS J00584253-0651239 [de],96,19259099.2764,2.9228571801e+29,1.5045512449871923e-62
